Date,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Humid , Roll , Pitch , Yaw
2021/10/13,41:49.7,46.5,34.5,128.5,0.025,-0.002,1.03,-0.03,-0.061,-0.03,30.22,30.73,-1.32,-0.06,139.74
2021/10/13,41:50.7,42.375,37.875,129,0.024,-0.001,1.031,-0.03,-0.122,0.03,30.19,30.74,-1.14,0.15,139.62
2021/10/13,41:51.7,45.25,33,127.75,0.025,-0.001,1.031,0.03,-0.03,-0.03,30.2,30.77,-1.34,-0.07,139.71
2021/10/13,41:52.7,47,33.375,129.625,0.025,-0.002,1.03,0.03,-0.03,-0.03,30.21,30.79,-1.49,-0.26,139.82
2021/10/13,41:53.7,42.625,35.125,132.75,0.025,-0.002,1.031,0.061,-0.03,-0.03,30.16,30.78,-1.36,-0.1,139.75
2021/10/13,41:54.7,43.5,35.75,128.75,0.024,-0.002,1.031,0,-0.061,0,30.19,30.77,-1.29,-0.02,139.7
2021/10/13,41:55.7,42.125,35.875,124.75,0.025,-0.001,1.03,0.03,-0.061,0.03,30.2,30.77,-1.21,0.1,139.63
2021/10/13,41:56.7,43.125,33.625,127.75,0.025,-0.002,1.03,-0.03,-0.091,-0.03,30.22,30.77,-1.3,0,139.65
2021/10/13,41:57.7,40.5,31.375,132.25,0.025,-0.002,1.032,-0.03,-0.061,-0.03,30.2,30.79,-1.34,-0.04,139.66
2021/10/13,41:58.7,44.625,31.375,129.5,0.025,-0.002,1.032,-0.061,-0.061,-0.03,30.23,30.78,-1.51,-0.25,139.77
2021/10/13,41:59.7,43.5,34.25,126.75,0.025,-0.002,1.03,0,-0.091,0,30.21,30.78,-1.46,-0.19,139.74
2021/10/13,42:00.7,44.375,37,130.25,0.026,-0.002,1.032,0.03,-0.152,0,30.22,30.75,-1.35,-0.05,139.67
2021/10/13,42:01.6,45.625,32.25,129.875,0.025,-0.002,1.03,0,-0.061,-0.03,30.19,30.76,-1.5,-0.25,139.77
