Date,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Roll , Pitch , Yaw
2021/10/13,31:05.8,43,29.375,130.375,0.025,-0.003,1.033,-0.03,-0.061,0.03,29.85,-1.62,-0.39,140.71
2021/10/13,31:06.9,42.5,33.5,132.875,0.026,-0.003,1.033,0,-0.122,0,29.84,-1.47,-0.21,140.64
2021/10/13,31:07.8,45.125,31.75,122.375,0.025,-0.002,1.033,0,-0.061,0.03,29.85,-1.55,-0.3,140.71
2021/10/13,31:08.8,39.625,35.5,127.875,0.026,-0.001,1.032,0,-0.091,0,29.86,-1.24,0.06,140.53
2021/10/13,31:09.8,41.875,31.25,129.875,0.026,-0.003,1.032,0.061,-0.091,0,29.87,-1.33,-0.04,140.56
2021/10/13,31:10.8,43,33.875,128.625,0.026,-0.002,1.033,0.03,-0.03,0,29.85,-1.32,0,140.53
2021/10/13,31:11.8,41.75,34.125,126.625,0.026,-0.002,1.03,0,-0.061,-0.061,29.81,-1.25,0.08,140.47
2021/10/13,31:12.8,43.875,36.5,130.75,0.025,-0.002,1.032,0,-0.091,-0.03,29.85,-1.19,0.15,140.4
2021/10/13,31:13.8,45.625,31.5,131.125,0.025,-0.001,1.033,0,-0.091,0,29.89,-1.4,-0.11,140.52
2021/10/13,31:14.8,41.875,31.875,132.25,0.026,-0.003,1.032,0.03,-0.061,0.03,29.89,-1.4,-0.1,140.51
2021/10/13,31:15.8,49.5,31.125,128.875,0.025,-0.001,1.033,0.03,-0.03,0,29.9,-1.66,-0.44,140.7
2021/10/13,31:16.8,45.375,32.375,131.125,0.025,-0.001,1.033,0.061,-0.03,0,29.89,-1.63,-0.39,140.72
2021/10/13,31:17.7,43.125,35.75,132.625,0.025,-0.001,1.033,0.03,-0.03,-0.03,29.91,-1.4,-0.11,140.6
2021/10/13,31:18.7,43.875,33.125,133.5,0.026,-0.001,1.033,0,-0.061,-0.03,29.89,-1.4,-0.1,140.6
2021/10/13,31:19.7,44.875,34.25,130.125,0.024,-0.002,1.033,0.03,-0.061,0,29.89,-1.38,-0.09,140.59
2021/10/13,31:20.7,45.125,35.25,129.125,0.026,-0.003,1.033,0,-0.091,-0.03,29.91,-1.36,-0.06,140.57
2021/10/13,31:21.7,41.125,31.625,130.25,0.025,-0.002,1.033,0.03,-0.03,-0.061,29.91,-1.35,-0.05,140.55
2021/10/13,31:22.7,42.625,36.875,130.625,0.025,-0.004,1.033,0,-0.061,-0.03,29.94,-1.18,0.13,140.43
2021/10/13,31:23.7,46.5,35.375,129.625,0.024,-0.002,1.031,0,-0.091,0,29.91,-1.26,0.02,140.46
2021/10/13,31:24.7,45.75,34.25,126.625,0.024,-0.002,1.03,0.03,-0.091,0.061,29.91,-1.34,-0.07,140.5
2021/10/13,31:25.7,47.625,34.375,133,0.025,-0.002,1.031,0.03,-0.03,0,29.93,-1.43,-0.18,140.56
2021/10/13,31:26.7,44.625,36.125,131.125,0.025,-0.002,1.031,0,-0.061,-0.03,29.91,-1.32,-0.05,140.49
2021/10/13,31:27.7,45.125,33.75,129.375,0.025,-0.003,1.033,0.03,-0.061,0.03,29.92,-1.37,-0.11,140.52
2021/10/13,31:28.7,46.5,33.125,130.875,0.025,-0.003,1.032,0,-0.061,-0.061,29.91,-1.47,-0.24,140.58
2021/10/13,31:29.7,45.5,30.875,130.75,0.025,-0.002,1.032,0.061,-0.061,0,29.9,-1.58,-0.37,140.66
2021/10/13,31:30.7,41.25,31.625,130.75,0.026,-0.003,1.032,0.03,-0.122,0,29.93,-1.49,-0.24,140.62
2021/10/13,31:31.7,41.75,33.625,131,0.025,-0.002,1.032,0,-0.091,-0.03,29.9,-1.36,-0.08,140.55
2021/10/13,31:32.7,44.25,33.375,130,0.025,-0.003,1.031,0,-0.091,0.061,29.9,-1.39,-0.11,140.56
2021/10/13,31:33.7,46.125,37.125,127.875,0.026,-0.002,1.033,0,-0.061,-0.03,29.9,-1.32,-0.02,140.5
2021/10/13,31:34.7,44.25,33.125,128.125,0.025,-0.002,1.033,0.03,-0.091,0,29.92,-1.37,-0.08,140.53
2021/10/13,31:35.7,43.5,32.25,129.25,0.026,-0.002,1.032,-0.061,-0.061,-0.061,29.93,-1.42,-0.13,140.55
2021/10/13,31:36.7,42.5,35.75,131,0.024,-0.002,1.032,-0.03,-0.091,-0.03,29.92,-1.25,0.05,140.45
2021/10/13,31:37.7,44.75,33.5,131,0.026,-0.002,1.032,0,-0.122,0.03,29.91,-1.35,-0.04,140.48
2021/10/13,31:38.7,41.5,35.25,124.375,0.025,-0.002,1.033,0,-0.03,0,29.9,-1.21,0.11,140.38
2021/10/13,31:39.6,43.75,29.875,131.625,0.025,-0.001,1.032,0.03,-0.061,-0.061,29.91,-1.42,-0.14,140.49
2021/10/13,31:40.6,42,32.625,131.125,0.025,-0.003,1.033,-0.03,-0.061,-0.03,29.9,-1.37,-0.1,140.46
2021/10/13,31:41.6,43,35,128.625,0.025,-0.002,1.032,-0.061,-0.061,-0.03,29.89,-1.28,0,140.4
2021/10/13,31:42.6,49,31,131.625,0.025,-0.001,1.031,0.03,-0.091,-0.03,29.9,-1.57,-0.37,140.59
2021/10/13,31:43.6,45,36.5,128.5,0.026,-0.002,1.032,0.03,-0.061,-0.061,29.86,-1.41,-0.15,140.5
2021/10/13,31:44.6,45.125,33.625,129.125,0.026,-0.002,1.032,0.03,-0.061,-0.061,29.87,-1.45,-0.17,140.51
2021/10/13,31:45.6,42.625,34.5,129.5,0.026,-0.002,1.03,0.03,0,-0.03,29.86,-1.34,-0.04,140.44
2021/10/13,31:46.6,44.125,31.875,131.875,0.025,-0.002,1.031,0.03,-0.03,0,29.86,-1.43,-0.14,140.49
2021/10/13,31:47.6,46.875,34,129.875,0.026,-0.001,1.032,0.03,-0.061,0,29.85,-1.49,-0.2,140.54
